                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4057,                0.83091,                      1,                0.71664,              0.0033282,              0.0033282,              0.0033282
                      2,                0.16686,                0.89834,                      1,                 0.6722,              0.0065956,              0.0065956,              0.0065956
                      3,                0.10536,                0.92427,                      1,                0.63666,               0.009797,               0.009797,               0.009797
                      4,                0.08035,                0.93517,                      1,                0.61865,               0.009703,               0.009703,               0.009703
                      5,                 0.0573,                0.93672,                      1,                0.61531,               0.009604,               0.009604,               0.009604
                      6,                0.04544,                0.92687,                      1,                0.62478,               0.009505,               0.009505,               0.009505
                      7,                0.02916,                0.97303,                      1,                0.58396,               0.009406,               0.009406,               0.009406
                      8,                0.02789,                0.93983,                      1,                0.61391,               0.009307,               0.009307,               0.009307
                      9,                0.01883,                0.92272,                      1,                0.62973,               0.009208,               0.009208,               0.009208
                     10,                0.01925,                0.96732,                      1,                0.58944,               0.009109,               0.009109,               0.009109
                     11,                0.01265,                0.97666,                      1,                0.57626,                0.00901,                0.00901,                0.00901
                     12,                0.01216,                0.91442,                      1,                0.63648,               0.008911,               0.008911,               0.008911
                     13,                0.00959,                0.97925,                      1,                0.57554,               0.008812,               0.008812,               0.008812
                     14,                0.01299,                0.98185,                      1,                0.57202,               0.008713,               0.008713,               0.008713
                     15,                0.00637,                0.98807,                      1,                0.56417,               0.008614,               0.008614,               0.008614
                     16,                0.00969,                0.99429,                      1,                0.56023,               0.008515,               0.008515,               0.008515
                     17,                0.00782,                0.99481,                      1,                0.56101,               0.008416,               0.008416,               0.008416
                     18,                0.00775,                0.99066,                      1,                 0.5632,               0.008317,               0.008317,               0.008317
                     19,                0.00742,                0.98029,                      1,                0.57415,               0.008218,               0.008218,               0.008218
                     20,                0.00822,                0.99118,                      1,                0.56153,               0.008119,               0.008119,               0.008119
                     21,                0.00892,                0.99378,                      1,                0.55955,                0.00802,                0.00802,                0.00802
                     22,                0.00725,                0.98029,                      1,                0.57235,               0.007921,               0.007921,               0.007921
                     23,                0.00757,                0.97925,                      1,                0.57475,               0.007822,               0.007822,               0.007822
                     24,                0.00279,                0.98963,                      1,                 0.5625,               0.007723,               0.007723,               0.007723
                     25,                0.00378,                0.99533,                      1,                0.55803,               0.007624,               0.007624,               0.007624
                     26,                0.00191,                0.99378,                      1,                0.55932,               0.007525,               0.007525,               0.007525
                     27,                0.00384,                0.99274,                      1,                0.56092,               0.007426,               0.007426,               0.007426
                     28,                0.00184,                0.99637,                      1,                0.55735,               0.007327,               0.007327,               0.007327
                     29,                0.00352,                0.99585,                      1,                0.55812,               0.007228,               0.007228,               0.007228
                     30,                0.00391,                0.99378,                      1,                0.55908,               0.007129,               0.007129,               0.007129
                     31,                0.00424,                0.99222,                      1,                0.56082,                0.00703,                0.00703,                0.00703
                     32,                0.00185,                0.99741,                      1,                0.55578,               0.006931,               0.006931,               0.006931
                     33,                0.00316,                0.99481,                      1,                0.55775,               0.006832,               0.006832,               0.006832
                     34,                0.00232,                0.99585,                      1,                0.55685,               0.006733,               0.006733,               0.006733
                     35,                0.00176,                0.99741,                      1,                0.55547,               0.006634,               0.006634,               0.006634
                     36,                0.00212,                0.99326,                      1,                0.55947,               0.006535,               0.006535,               0.006535
                     37,                0.00225,                0.99896,                      1,                0.55491,               0.006436,               0.006436,               0.006436
                     38,                0.00141,                0.99741,                      1,                0.55394,               0.006337,               0.006337,               0.006337
                     39,                0.00195,                0.99896,                      1,                0.55458,               0.006238,               0.006238,               0.006238
                     40,                0.00335,                0.98911,                      1,                0.56481,               0.006139,               0.006139,               0.006139
                     41,                0.00235,                0.98859,                      1,                0.56473,                0.00604,                0.00604,                0.00604
                     42,                0.00529,                0.99844,                      1,                0.55462,               0.005941,               0.005941,               0.005941
                     43,                0.00216,                0.99429,                      1,                0.55785,               0.005842,               0.005842,               0.005842
                     44,                0.00317,                0.99637,                      1,                0.55686,               0.005743,               0.005743,               0.005743
                     45,                0.00106,                0.99689,                      1,                0.55628,               0.005644,               0.005644,               0.005644
                     46,                0.00105,                0.99689,                      1,                0.55576,               0.005545,               0.005545,               0.005545
                     47,                0.00111,                0.99741,                      1,                0.55566,               0.005446,               0.005446,               0.005446
                     48,                0.00149,                0.99637,                      1,                0.55618,               0.005347,               0.005347,               0.005347
                     49,                0.00108,                0.99429,                      1,                0.55706,               0.005248,               0.005248,               0.005248
